time;V(Net-_R7-Pad2_);V(Net-_U1-+_);
0.0116416;-0.0230132;0.0157381;
0.0116516;-0.024376;0.0157073;
0.0116616;-0.0256263;0.0156838;
0.0116716;-0.026759;0.0156681;
0.0116816;-0.0277699;0.0156604;
0.0116916;-0.0286547;0.015661;
0.0117016;-0.0294102;0.0156701;
0.0117116;-0.0300332;0.0156879;
0.0117216;-0.0305214;0.0157146;
0.0117316;-0.0308728;0.0157503;
0.0117416;-0.0310859;0.0157951;
0.0117516;-0.0311601;0.0158491;
0.0117616;-0.0310949;0.0159122;
0.0117716;-0.0308907;0.0159845;
0.0117816;-0.0305483;0.0160658;
0.0117916;-0.0300689;0.0161561;
0.0118016;-0.0294545;0.0162552;
0.0118116;-0.0287075;0.0163629;
0.0118216;-0.0278309;0.0164791;
0.0118316;-0.0268281;0.0166034;
0.0118416;-0.0257031;0.0167356;
0.0118516;-0.0244603;0.0168754;
0.0118616;-0.0231046;0.0170223;
0.0118716;-0.0216414;0.0171761;
0.0118816;-0.0200765;0.0173362;
0.0118916;-0.0184159;0.0175023;
0.0119016;-0.0166664;0.0176739;
0.0119116;-0.0148347;0.0178505;
0.0119216;-0.0129281;0.0180315;
0.0119316;-0.0109542;0.0182165;
0.0119416;-0.00892072;0.0184048;
0.0119516;-0.00683567;0.0185959;
0.0119616;-0.0047073;0.0187893;
0.0119716;-0.00254401;0.0189842;
0.0119816;-0.000354333;0.0191802;
0.0119916;0.00185309;0.0193765;
0.0120016;0.00406954;0.0195726;
0.0120116;0.00628627;0.0197679;
0.0120216;0.00849454;0.0199616;
0.0120316;0.0106856;0.0201533;
0.0120416;0.0128509;0.0203423;
0.0120516;0.0149818;0.020528;
0.0120616;0.0170699;0.0207098;
0.0120716;0.019107;0.020887;
0.0120816;0.021085;0.0210593;
0.0120916;0.0229961;0.0212259;
0.0121016;0.0248329;0.0213864;
0.0121116;0.0265879;0.0215402;
0.0121216;0.0282544;0.021687;
0.0121316;0.0298258;0.0218261;
0.0121416;0.0312957;0.0219572;
0.0121516;0.0326585;0.0220798;
0.0121616;0.0339088;0.0221937;
0.0121716;0.0350416;0.0222984;
0.0121816;0.0360524;0.0223936;
0.0121916;0.0369373;0.022479;
0.0122016;0.0376927;0.0225545;
0.0122116;0.0383158;0.0226198;
0.0122216;0.0388039;0.0226748;
0.0122316;0.0391553;0.0227192;
0.0122416;0.0393685;0.0227531;
0.0122516;0.0394427;0.0227764;
0.0122616;0.0393775;0.022789;
0.0122716;0.0391733;0.0227909;
0.0122816;0.0388308;0.0227824;
0.0122916;0.0383514;0.0227633;
0.0123016;0.0377371;0.022734;
0.0123116;0.0369901;0.0226945;
0.0123216;0.0361135;0.0226451;
0.0123316;0.0351107;0.022586;
0.0123416;0.0339857;0.0225176;
0.0123516;0.0327429;0.0224401;
0.0123616;0.0313872;0.0223538;
0.0123716;0.029924;0.0222593;
0.0123816;0.0283591;0.0221568;
0.0123916;0.0266985;0.0220469;
0.0124016;0.024949;0.02193;
0.0124116;0.0231173;0.0218066;
0.0124216;0.0212108;0.0216772;
0.0124316;0.0192368;0.0215423;
0.0124416;0.0172033;0.0214025;
0.0124516;0.0151183;0.0212584;
0.0124616;0.0129899;0.0211106;
0.0124716;0.0108266;0.0209596;
0.0124816;0.00863694;0.0208061;
0.0124916;0.00642952;0.0206506;
0.0125016;0.00421307;0.0204939;
0.0125116;0.00199634;0.0203365;
0.0125216;-0.000211927;0.0201789;
0.0125316;-0.00240301;0.020022;
0.0125416;-0.00456827;0.0198662;
0.0125516;-0.00669916;0.0197121;
0.0125616;-0.00878727;0.0195604;
0.0125716;-0.0108243;0.0194117;
0.0125816;-0.0128024;0.0192665;
0.0125916;-0.0147135;0.0191253;
0.0126016;-0.0165503;0.0189887;
0.0126116;-0.0183053;0.0188571;
0.0126216;-0.0199718;0.0187312;
0.0126316;-0.0215432;0.0186113;
0.0126416;-0.0230131;0.0184979;
0.0126516;-0.0243759;0.0183913;
0.0126616;-0.0256262;0.018292;
0.0126716;-0.0267589;0.0182004;
0.0126816;-0.0277698;0.0181166;
0.0126916;-0.0286547;0.018041;
0.0127016;-0.0294101;0.0179738;
0.0127116;-0.0300332;0.0179153;
0.0127216;-0.0305213;0.0178655;
0.0127316;-0.0308727;0.0178247;
0.0127416;-0.0310859;0.0177929;
0.0127516;-0.0311601;0.0177702;
0.0127616;-0.0310949;0.0177566;
0.0127716;-0.0308907;0.017752;
0.0127816;-0.0305482;0.0177564;
0.0127916;-0.0300688;0.0177698;
0.0128016;-0.0294545;0.0177918;
0.0128116;-0.0287075;0.0178225;
0.0128216;-0.0278309;0.0178615;
0.0128316;-0.0268281;0.0179086;
0.0128416;-0.0257031;0.0179636;
0.0128516;-0.0244603;0.018026;
0.0128616;-0.0231046;0.0180956;
0.0128716;-0.0216414;0.018172;
0.0128816;-0.0200765;0.0182547;
0.0128916;-0.0184159;0.0183434;
0.0129016;-0.0166664;0.0184375;
0.0129116;-0.0148347;0.0185365;
0.0129216;-0.0129282;0.01864;
0.0129316;-0.0109543;0.0187473;
0.0129416;-0.00892076;0.0188581;
0.0129516;-0.00683572;0.0189716;
0.0129616;-0.00470735;0.0190873;
0.0129716;-0.00254406;0.0192046;
0.0129816;-0.000354389;0.0193229;
0.0129916;0.00185303;0.0194415;
0.0130016;0.00406947;0.01956;
0.0130116;0.0062862;0.0196776;
0.0130216;0.00849446;0.0197937;
0.0130316;0.0106855;0.0199077;
0.0130416;0.0128508;0.020019;
0.0130516;0.0149817;0.0201271;
0.0130616;0.0170698;0.0202312;
0.0130716;0.0191069;0.0203309;
0.0130816;0.0210849;0.0204256;
0.0130916;0.022996;0.0205147;
0.0131016;0.0248328;0.0205976;
0.0131116;0.0265878;0.020674;
0.0131216;0.0282543;0.0207433;
0.0131316;0.0298256;0.020805;
0.0131416;0.0312956;0.0208587;
0.0131516;0.0326584;0.020904;
0.0131616;0.0339086;0.0209406;
0.0131716;0.0350414;0.020968;
0.0131816;0.0360522;0.020986;
0.0131916;0.0369371;0.0209944;
0.0132016;0.0376926;0.0209928;
0.0132116;0.0383156;0.0209811;
0.0132216;0.0388038;0.0209591;
0.0132316;0.0391551;0.0209267;
0.0132416;0.0393683;0.0208837;
0.0132516;0.0394425;0.0208302;
0.0132616;0.0393773;0.0207662;
0.0132716;0.0391731;0.0206916;
0.0132816;0.0388306;0.0206065;
0.0132916;0.0383513;0.0205111;
0.0133016;0.0377369;0.0204054;
0.0133116;0.0369899;0.0202897;
0.0133216;0.0361133;0.0201642;
0.0133316;0.0351105;0.0200291;
0.0133416;0.0339855;0.0198847;
0.0133516;0.0327427;0.0197313;
0.0133616;0.031387;0.0195694;
0.0133716;0.0299238;0.0193992;
0.0133816;0.0283588;0.0192213;
0.0133916;0.0266983;0.019036;
0.0134016;0.0249487;0.0188438;
0.0134116;0.0231171;0.0186452;
0.0134216;0.0212105;0.0184408;
0.0134316;0.0192366;0.018231;
0.0134416;0.0172031;0.0180165;
0.0134516;0.015118;0.0177978;
0.0134616;0.0129896;0.0175754;
0.0134716;0.0108263;0.0173501;
0.0134816;0.00863667;0.0171224;
0.0134916;0.00642925;0.0168929;
0.0135016;0.00421279;0.0166622;
0.0135116;0.00199606;0.016431;
0.0135216;-0.000212215;0.0161999;
0.0135316;-0.00240331;0.0159695;
0.0135416;-0.00456857;0.0157404;
0.0135516;-0.00669946;0.0155132;
0.0135616;-0.00878757;0.0152886;
0.0135716;-0.0108247;0.015067;
0.0135816;-0.0128027;0.0148492;
0.0135916;-0.0147138;0.0146355;
0.0136016;-0.0165506;0.0144266;
0.0136116;-0.0183057;0.014223;
0.0136216;-0.0199722;0.0140252;
0.0136316;-0.0215435;0.0138336;
0.0136416;-0.0230135;0.0136486;
0.0136516;-0.0243763;0.0134707;
0.0136616;-0.0256265;0.0133003;
0.0136716;-0.0267593;0.0131376;
0.0136816;-0.0277701;0.0129831;
0.0136916;-0.028655;0.012837;
0.0137016;-0.0294105;0.0126995;
0.0137116;-0.0300335;0.0125708;
0.0137216;-0.0305217;0.0124511;
0.0137316;-0.0308731;0.0123406;
0.0137416;-0.0310863;0.0122393;
0.0137516;-0.0311604;0.0121473;
0.0137616;-0.0310953;0.0120646;
0.0137716;-0.0308911;0.0119912;
0.0137816;-0.0305486;0.0119271;
0.0137916;-0.0300692;0.011872;
0.0138016;-0.0294549;0.011826;
0.0138116;-0.0287079;0.0117887;
0.0138216;-0.0278313;0.0117601;
0.0138316;-0.0268285;0.0117398;
0.0138416;-0.0257035;0.0117275;
0.0138516;-0.0244607;0.0117231;
0.0138616;-0.023105;0.011726;
0.0138716;-0.0216418;0.0117359;
0.0138816;-0.0200769;0.0117525;
0.0138916;-0.0184164;0.0117752;
0.0139016;-0.0166668;0.0118036;
0.0139116;-0.0148352;0.0118372;
0.0139216;-0.0129286;0.0118756;
0.0139316;-0.0109547;0.0119181;
0.0139416;-0.00892121;0.0119642;
0.0139516;-0.00683617;0.0120134;
0.0139616;-0.0047078;0.012065;
0.0139716;-0.00254452;0.0121185;
0.0139816;-0.000354851;0.0121733;
0.0139916;0.00185256;0.0122288;
0.0140016;0.004069;0.0122843;
0.0140116;0.00628573;0.0123393;
0.0140216;0.00849399;0.012393;
0.0140316;0.0106851;0.012445;
0.0140416;0.0128503;0.0124946;
0.0140516;0.0149812;0.0125412;
0.0140616;0.0170693;0.0125841;
0.0140716;0.0191064;0.012623;
