time;V(Net-_R1-Pad1_);V(Net-_R2-Pad2_);
0.0061523;0.408708;-7.97292;
0.0061533;0.41051;-8.01026;
0.0061543;0.412295;-8.04728;
0.0061553;0.414064;-8.08398;
0.0061563;0.415817;-8.12036;
0.0061573;0.417554;-8.15642;
0.0061583;0.419273;-8.19215;
0.0061593;0.420977;-8.22757;
0.0061603;0.422664;-8.26265;
0.0061613;0.424334;-8.29741;
0.0061623;0.425987;-8.33184;
0.0061633;0.427623;-8.36593;
0.0061643;0.429243;-8.3997;
0.0061653;0.430846;-8.43314;
0.0061663;0.432431;-8.46624;
0.0061673;0.434;-8.499;
0.0061683;0.435551;-8.53143;
0.0061693;0.437085;-8.56352;
0.0061703;0.438602;-8.59527;
0.0061713;0.440102;-8.62669;
0.0061723;0.441584;-8.65776;
0.0061733;0.443049;-8.68848;
0.0061743;0.444497;-8.71887;
0.0061753;0.445926;-8.7489;
0.0061763;0.447339;-8.7786;
0.0061773;0.448733;-8.80794;
0.0061783;0.45011;-8.83693;
0.0061793;0.451469;-8.86558;
0.0061803;0.45281;-8.89387;
0.0061813;0.454134;-8.92182;
0.0061823;0.455439;-8.9494;
0.0061833;0.456727;-8.97664;
0.0061843;0.457996;-9.00352;
0.0061853;0.459247;-9.03004;
0.0061863;0.460481;-9.05621;
0.0061873;0.461696;-9.08201;
0.0061883;0.462892;-9.10746;
0.0061893;0.464071;-9.13255;
0.0061903;0.465231;-9.15727;
0.0061913;0.466373;-9.18163;
0.0061923;0.467496;-9.20563;
0.0061933;0.468601;-9.22927;
0.0061943;0.469688;-9.25254;
0.0061953;0.470756;-9.27544;
0.0061963;0.471805;-9.29798;
0.0061973;0.472836;-9.32014;
0.0061983;0.473848;-9.34194;
0.0061993;0.474841;-9.36337;
0.0062003;0.475816;-9.38443;
0.0062013;0.476772;-9.40512;
0.0062023;0.477709;-9.42543;
0.0062033;0.478627;-9.44537;
0.0062043;0.479526;-9.46494;
0.0062053;0.480406;-9.48413;
0.0062063;0.481268;-9.50295;
